Allocation_ID,Program_Code,Part_ID,Plant_ID,Line_ID,Allocated_Qty,Capacity_Status
ALLOC-0001,EV-BRK-26,BRK-CAL-XYZ,plant7,L1,250,Constrained
ALLOC-0002,EV-BRK-26,BRK-CAL-XYZ,plant7,L1,275,Constrained
ALLOC-0003,EV-BRK-26,BRK-CAL-XYZ,plant7,L1,180,Constrained
ALLOC-0004,MMC-BODY-25,STM-PNL-A1,plant7,L1,510,Available
ALLOC-0005,MMC-AUTO-24,ROB-ARM-G3,plant7,L2,660,Available
ALLOC-0006,MMC-GEN,FST-M8-100,plant7,L1,570,Available
ALLOC-0007,MMC-CAST-25,CST-HSG-04,plant7,L3,770,Available
ALLOC-0008,EV-BRK-26,BRK-PAD-STD,plant7,L1,420,Available
ALLOC-0009,EV-BRK-26,BRK-ROT-090,plant7,L1,420,Available
ALLOC-0010,EV-BRK-26,BRK-FLD-DOT4,plant7,L1,540,Available
ALLOC-0011,MMC-BODY-25,STM-PNL-B2,plant7,L1,670,Available
ALLOC-0012,MMC-BODY-25,STM-PNL-C3,plant7,L1,600,Available
ALLOC-0013,MMC-GEN,FRG-LNK-077,plant7,L1,700,Available
ALLOC-0014,MMC-AUTO-24,ROB-ARM-G4,plant7,L2,540,Available
ALLOC-0015,MMC-AUTO-24,ELC-HRN-12V,plant7,L2,420,Available
ALLOC-0016,MMC-AUTO-24,ELC-PCB-MAIN,plant7,L2,630,Available
ALLOC-0017,MMC-AUTO-24,ELC-MEM-08G,plant7,L2,590,Available
ALLOC-0018,MMC-AUTO-24,ELC-FW-LOAD,plant7,L2,750,Available
ALLOC-0019,MMC-AUTO-24,SNS-PRX-001,plant7,L2,320,Available
ALLOC-0020,MMC-AUTO-24,SNS-PRX-002,plant7,L2,730,Available
ALLOC-0021,MMC-AUTO-24,OPT-LNS-002,plant7,L3,680,Available
ALLOC-0022,MMC-AUTO-24,OPT-FLT-002,plant7,L3,670,Available
ALLOC-0023,MMC-CAST-25,CST-HSG-05,plant7,L3,220,Available
ALLOC-0024,MMC-CAST-25,CST-HSG-06,plant7,L3,320,Available
ALLOC-0025,MMC-GEN,BRG-RAD-090,plant7,L3,790,Available
ALLOC-0026,MMC-GEN,LUB-OIL-MULTI,plant7,L3,500,Available
ALLOC-0027,MMC-GEN,ADH-CYAN-50ML,plant7,L3,350,Available
ALLOC-0028,MMC-GEN,SPR-COIL-022,plant7,L1,900,Available
ALLOC-0029,MMC-GEN,SPR-LEAF-118,plant7,L1,580,Available
ALLOC-0030,MMC-GEN,GEAR-PIN-018,plant7,L2,170,Available
ALLOC-0031,MMC-GEN,GEAR-SPR-024,plant7,L2,290,Available
ALLOC-0032,MMC-GEN,CMP-TRIM-A,plant7,L3,150,Available
ALLOC-0033,MMC-GEN,CMP-TRIM-B,plant7,L3,600,Available
ALLOC-0034,MMC-GEN,CTG-PAINT-WHT,plant7,L3,920,Available
ALLOC-0035,MMC-GEN,CTG-PAINT-BLK,plant7,L3,800,Available
ALLOC-0036,MMC-GEN,SRV-MOTOR-220,plant7,L2,490,Available
ALLOC-0037,MMC-GEN,SRV-MOTOR-330,plant7,L2,860,Available
ALLOC-0038,MMC-GEN,HYD-PUMP-A,plant7,L1,530,Available
ALLOC-0039,MMC-GEN,HYD-PUMP-B,plant7,L1,390,Available
ALLOC-0040,MMC-GEN,PLA-CLIP-A,plant7,L3,470,Available
ALLOC-0041,MMC-GEN,PLA-CLIP-B,plant7,L3,460,Available
ALLOC-0042,MMC-GEN,TRIM-INT-001,plant7,L3,530,Available
ALLOC-0043,MMC-GEN,TRIM-INT-002,plant7,L3,490,Available
