Order_ID,Customer,Program_Code,Part_ID,Requested_Week,Order_Qty,Signal_Type,Priority
CRM-ORD-0001,Northstar EV,EV-BRK-26,BRK-CAL-XYZ,2026-W06,250,Pull-ahead,High
CRM-ORD-0002,Northstar EV,EV-BRK-26,BRK-CAL-XYZ,2026-W07,275,Firm,High
CRM-ORD-0003,Great Lakes Fleet,EV-BRK-26,BRK-CAL-XYZ,2026-W08,180,Firm,High
CRM-ORD-0004,Northstar EV,EV-BRK-26,BRK-CAL-XYZ,2026-W09,300,Forecast,Normal
CRM-ORD-0006,Northstar EV,MMC-BODY-25,STM-PNL-A1,2026-W07,510,Firm,Normal
CRM-ORD-0007,MidOEM,MMC-AUTO-24,ROB-ARM-G3,2026-W08,660,Firm,Normal
CRM-ORD-0008,Internal,MMC-GEN,FST-M8-100,2026-W09,570,Forecast,Normal
CRM-ORD-0009,Heavy Inc,MMC-CAST-25,CST-HSG-04,2026-W10,770,Firm,Normal
CRM-ORD-0010,Northstar EV,EV-BRK-26,BRK-PAD-STD,2026-W11,420,Pull-ahead,Normal
CRM-ORD-0011,Northstar EV,EV-BRK-26,BRK-ROT-090,2026-W12,420,Firm,Normal
CRM-ORD-0012,Northstar EV,EV-BRK-26,BRK-FLD-DOT4,2026-W13,540,Firm,Normal
CRM-ORD-0013,Northstar EV,MMC-BODY-25,STM-PNL-B2,2026-W14,670,Forecast,Normal
CRM-ORD-0014,Northstar EV,MMC-BODY-25,STM-PNL-C3,2026-W15,600,Firm,Normal
CRM-ORD-0015,Internal,MMC-GEN,FRG-LNK-077,2026-W16,700,Pull-ahead,Normal
CRM-ORD-0016,MidOEM,MMC-AUTO-24,ROB-ARM-G4,2026-W17,540,Firm,Normal
CRM-ORD-0017,MidOEM,MMC-AUTO-24,ELC-HRN-12V,2026-W18,420,Firm,Normal
CRM-ORD-0018,MidOEM,MMC-AUTO-24,ELC-PCB-MAIN,2026-W19,630,Forecast,Normal
CRM-ORD-0019,MidOEM,MMC-AUTO-24,ELC-MEM-08G,2026-W20,590,Firm,Normal
CRM-ORD-0020,MidOEM,MMC-AUTO-24,ELC-FW-LOAD,2026-W21,750,Pull-ahead,Normal
CRM-ORD-0021,MidOEM,MMC-AUTO-24,SNS-PRX-001,2026-W22,320,Firm,Normal
CRM-ORD-0022,MidOEM,MMC-AUTO-24,SNS-PRX-002,2026-W23,730,Firm,Normal
CRM-ORD-0023,MidOEM,MMC-AUTO-24,OPT-LNS-002,2026-W24,680,Forecast,Normal
CRM-ORD-0024,MidOEM,MMC-AUTO-24,OPT-FLT-002,2026-W25,670,Firm,Normal
CRM-ORD-0025,Heavy Inc,MMC-CAST-25,CST-HSG-05,2026-W26,220,Pull-ahead,Normal
CRM-ORD-0026,Heavy Inc,MMC-CAST-25,CST-HSG-06,2026-W27,320,Firm,Normal
CRM-ORD-0027,Internal,MMC-GEN,BRG-RAD-090,2026-W28,790,Firm,Normal
CRM-ORD-0028,Internal,MMC-GEN,LUB-OIL-MULTI,2026-W29,500,Forecast,Normal
CRM-ORD-0029,Internal,MMC-GEN,ADH-CYAN-50ML,2026-W30,350,Firm,Normal
CRM-ORD-0030,Internal,MMC-GEN,SPR-COIL-022,2026-W31,900,Pull-ahead,Normal
CRM-ORD-0031,Internal,MMC-GEN,SPR-LEAF-118,2026-W32,580,Firm,Normal
CRM-ORD-0032,Internal,MMC-GEN,GEAR-PIN-018,2026-W33,170,Firm,Normal
CRM-ORD-0033,Internal,MMC-GEN,GEAR-SPR-024,2026-W34,290,Forecast,Normal
CRM-ORD-0034,Internal,MMC-GEN,CMP-TRIM-A,2026-W35,150,Firm,Normal
CRM-ORD-0035,Internal,MMC-GEN,CMP-TRIM-B,2026-W36,600,Pull-ahead,Normal
CRM-ORD-0036,Internal,MMC-GEN,CTG-PAINT-WHT,2026-W37,920,Firm,Normal
CRM-ORD-0037,Internal,MMC-GEN,CTG-PAINT-BLK,2026-W38,800,Firm,Normal
CRM-ORD-0038,Internal,MMC-GEN,SRV-MOTOR-220,2026-W39,490,Forecast,Normal
CRM-ORD-0039,Internal,MMC-GEN,SRV-MOTOR-330,2026-W40,860,Firm,Normal
CRM-ORD-0040,Internal,MMC-GEN,HYD-PUMP-A,2026-W41,530,Pull-ahead,Normal
CRM-ORD-0041,Internal,MMC-GEN,HYD-PUMP-B,2026-W42,390,Firm,Normal
CRM-ORD-0042,Internal,MMC-GEN,PLA-CLIP-A,2026-W43,470,Firm,Normal
CRM-ORD-0043,Internal,MMC-GEN,PLA-CLIP-B,2026-W44,460,Forecast,Normal
CRM-ORD-0044,Internal,MMC-GEN,TRIM-INT-001,2026-W45,530,Firm,Normal
CRM-ORD-0045,Internal,MMC-GEN,TRIM-INT-002,2026-W46,490,Pull-ahead,Normal
