Effectivity_ID,Part_ID,Revision,Plant_ID,Line_ID,Effective_From,Effective_To,Program_Code
EFF-0001,BRK-CAL-XYZ,C,plant7,L1,2026-01-15,,EV-BRK-26
EFF-0002,STM-PNL-A1,A,plant7,L1,2026-01-15,,MMC-BODY-25
EFF-0003,ROB-ARM-G3,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0004,FST-M8-100,A,plant7,L1,2026-01-15,,MMC-GEN
EFF-0005,CST-HSG-04,A,plant7,L3,2026-01-15,,MMC-CAST-25
EFF-0006,BRK-PAD-STD,A,plant7,L1,2026-01-15,,EV-BRK-26
EFF-0007,BRK-ROT-090,A,plant7,L1,2026-01-15,,EV-BRK-26
EFF-0008,BRK-FLD-DOT4,A,plant7,L1,2026-01-15,,EV-BRK-26
EFF-0009,STM-PNL-B2,A,plant7,L1,2026-01-15,,MMC-BODY-25
EFF-0010,STM-PNL-C3,A,plant7,L1,2026-01-15,,MMC-BODY-25
EFF-0011,FRG-LNK-077,A,plant7,L1,2026-01-15,,MMC-GEN
EFF-0012,ROB-ARM-G4,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0013,ELC-HRN-12V,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0014,ELC-PCB-MAIN,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0015,ELC-MEM-08G,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0016,ELC-FW-LOAD,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0017,SNS-PRX-001,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0018,SNS-PRX-002,A,plant7,L2,2026-01-15,,MMC-AUTO-24
EFF-0019,OPT-LNS-002,A,plant7,L3,2026-01-15,,MMC-AUTO-24
EFF-0020,OPT-FLT-002,A,plant7,L3,2026-01-15,,MMC-AUTO-24
EFF-0021,CST-HSG-05,A,plant7,L3,2026-01-15,,MMC-CAST-25
EFF-0022,CST-HSG-06,A,plant7,L3,2026-01-15,,MMC-CAST-25
EFF-0023,BRG-RAD-090,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0024,LUB-OIL-MULTI,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0025,ADH-CYAN-50ML,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0026,SPR-COIL-022,A,plant7,L1,2026-01-15,,MMC-GEN
EFF-0027,SPR-LEAF-118,A,plant7,L1,2026-01-15,,MMC-GEN
EFF-0028,GEAR-PIN-018,A,plant7,L2,2026-01-15,,MMC-GEN
EFF-0029,GEAR-SPR-024,A,plant7,L2,2026-01-15,,MMC-GEN
EFF-0030,CMP-TRIM-A,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0031,CMP-TRIM-B,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0032,CTG-PAINT-WHT,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0033,CTG-PAINT-BLK,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0034,SRV-MOTOR-220,A,plant7,L2,2026-01-15,,MMC-GEN
EFF-0035,SRV-MOTOR-330,A,plant7,L2,2026-01-15,,MMC-GEN
EFF-0036,HYD-PUMP-A,A,plant7,L1,2026-01-15,,MMC-GEN
EFF-0037,HYD-PUMP-B,A,plant7,L1,2026-01-15,,MMC-GEN
EFF-0038,PLA-CLIP-A,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0039,PLA-CLIP-B,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0040,TRIM-INT-001,A,plant7,L3,2026-01-15,,MMC-GEN
EFF-0041,TRIM-INT-002,A,plant7,L3,2026-01-15,,MMC-GEN
