Contract_ID,Supplier_ID,Part_ID,Contract_Type,Incoterms,Expedite_Allowed,Expedite_Cost_Per_Unit,Currency,Payment_Terms,Effective_Date,Expiration_Date
CON-0001,SUP-001,BRK-CAL-XYZ,LTA,FCA,Y,18.5,USD,Net 45,2025-01-01,2026-12-31
CON-0002,SUP-002,STM-PNL-A1,LTA,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0003,SUP-003,ROB-ARM-G3,LTA,FCA,Y,7.1,USD,Net 45,2025-01-01,2026-12-31
CON-0004,SUP-004,FST-M8-100,Blanket,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0005,SUP-005,CST-HSG-04,Spot,FCA,Y,0.83,USD,Net 45,2025-01-01,2026-12-31
CON-0006,SUP-001,BRK-PAD-STD,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0007,SUP-007,BRK-ROT-090,LTA,DAP,Y,16.94,USD,Net 45,2025-01-01,2026-12-31
CON-0008,SUP-011,BRK-FLD-DOT4,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0009,SUP-002,STM-PNL-B2,Blanket,DAP,Y,2.22,USD,Net 45,2025-01-01,2026-12-31
CON-0010,SUP-006,STM-PNL-C3,Spot,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0011,SUP-012,FRG-LNK-077,LTA,FCA,Y,5.56,USD,Net 45,2025-01-01,2026-12-31
CON-0012,SUP-003,ROB-ARM-G4,LTA,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0013,SUP-008,ELC-HRN-12V,LTA,FCA,Y,5.2,USD,Net 45,2025-01-01,2026-12-31
CON-0014,SUP-025,ELC-PCB-MAIN,Blanket,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0015,SUP-027,ELC-MEM-08G,Spot,FCA,Y,8.18,USD,Net 45,2025-01-01,2026-12-31
CON-0016,SUP-026,ELC-FW-LOAD,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0017,SUP-009,SNS-PRX-001,LTA,DAP,Y,6.42,USD,Net 45,2025-01-01,2026-12-31
CON-0018,SUP-009,SNS-PRX-002,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0019,SUP-010,OPT-LNS-002,Blanket,DAP,Y,6.48,USD,Net 45,2025-01-01,2026-12-31
CON-0020,SUP-010,OPT-FLT-002,Spot,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0021,SUP-005,CST-HSG-05,LTA,FCA,Y,5.13,USD,Net 45,2025-01-01,2026-12-31
CON-0022,SUP-023,CST-HSG-06,LTA,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0023,SUP-022,BRG-RAD-090,LTA,FCA,Y,2.96,USD,Net 45,2025-01-01,2026-12-31
CON-0024,SUP-018,LUB-OIL-MULTI,Blanket,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0025,SUP-014,ADH-CYAN-50ML,Spot,FCA,Y,3.39,USD,Net 45,2025-01-01,2026-12-31
CON-0026,SUP-020,SPR-COIL-022,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0027,SUP-020,SPR-LEAF-118,LTA,DAP,Y,11.39,USD,Net 45,2025-01-01,2026-12-31
CON-0028,SUP-021,GEAR-PIN-018,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0029,SUP-021,GEAR-SPR-024,Blanket,DAP,Y,6.83,USD,Net 45,2025-01-01,2026-12-31
CON-0030,SUP-013,CMP-TRIM-A,Spot,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0031,SUP-013,CMP-TRIM-B,LTA,FCA,Y,20.65,USD,Net 45,2025-01-01,2026-12-31
CON-0032,SUP-015,CTG-PAINT-WHT,LTA,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0033,SUP-015,CTG-PAINT-BLK,LTA,FCA,Y,20.32,USD,Net 45,2025-01-01,2026-12-31
CON-0034,SUP-024,SRV-MOTOR-220,Blanket,DAP,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0035,SUP-024,SRV-MOTOR-330,Spot,FCA,Y,10.42,USD,Net 45,2025-01-01,2026-12-31
CON-0036,SUP-019,HYD-PUMP-A,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0037,SUP-019,HYD-PUMP-B,LTA,DAP,Y,14.39,USD,Net 45,2025-01-01,2026-12-31
CON-0038,SUP-017,PLA-CLIP-A,LTA,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0039,SUP-017,PLA-CLIP-B,Blanket,DAP,Y,11.62,USD,Net 45,2025-01-01,2026-12-31
CON-0040,SUP-028,TRIM-INT-001,Spot,FCA,N,0.0,USD,Net 45,2025-01-01,2026-12-31
CON-0041,SUP-028,TRIM-INT-002,LTA,FCA,Y,19.58,USD,Net 45,2025-01-01,2026-12-31
