PO_ID,Supplier_ID,Part_ID,Plant_ID,Order_Date,Need_Date,Open_Qty,Unit_Price,Extended_Value,Status
PO-00001,SUP-001,BRK-CAL-XYZ,plant7,2026-01-05,2026-02-04,480,142.0,68160.0,At Risk
PO-00002,SUP-002,STM-PNL-A1,plant7,2026-01-05,2026-02-04,510,22.34,11393.4,Watch
PO-00003,SUP-003,ROB-ARM-G3,plant7,2026-01-05,2026-02-04,660,19.28,12724.8,Open
PO-00004,SUP-004,FST-M8-100,plant7,2026-01-05,2026-02-04,570,11.99,6834.3,Open
PO-00005,SUP-005,CST-HSG-04,plant7,2026-01-05,2026-02-04,770,13.34,10271.8,Open
PO-00006,SUP-001,BRK-PAD-STD,plant7,2026-01-05,2026-02-04,420,105.17,44171.4,Open
PO-00007,SUP-007,BRK-ROT-090,plant7,2026-01-05,2026-02-04,420,129.14,54238.8,Watch
PO-00008,SUP-011,BRK-FLD-DOT4,plant7,2026-01-05,2026-02-04,540,141.36,76334.4,Open
PO-00009,SUP-002,STM-PNL-B2,plant7,2026-01-05,2026-02-04,670,43.47,29124.9,Open
PO-00010,SUP-006,STM-PNL-C3,plant7,2026-01-05,2026-02-04,600,76.25,45750.0,Open
PO-00011,SUP-012,FRG-LNK-077,plant7,2026-01-05,2026-02-04,700,21.89,15323.0,Open
PO-00012,SUP-003,ROB-ARM-G4,plant7,2026-01-05,2026-02-04,540,10.69,5772.6,Watch
PO-00013,SUP-008,ELC-HRN-12V,plant7,2026-01-05,2026-02-04,420,73.8,30996.0,Open
PO-00014,SUP-025,ELC-PCB-MAIN,plant7,2026-01-05,2026-02-04,630,7.66,4825.8,Open
PO-00015,SUP-027,ELC-MEM-08G,plant7,2026-01-05,2026-02-04,590,176.29,104011.1,Open
PO-00016,SUP-026,ELC-FW-LOAD,plant7,2026-01-05,2026-02-04,750,183.87,137902.5,Open
PO-00017,SUP-009,SNS-PRX-001,plant7,2026-01-05,2026-02-04,320,25.73,8233.6,Watch
PO-00018,SUP-009,SNS-PRX-002,plant7,2026-01-05,2026-02-04,730,8.61,6285.3,Open
PO-00019,SUP-010,OPT-LNS-002,plant7,2026-01-05,2026-02-04,680,67.27,45743.6,Open
PO-00020,SUP-010,OPT-FLT-002,plant7,2026-01-05,2026-02-04,670,140.54,94161.8,Open
PO-00021,SUP-005,CST-HSG-05,plant7,2026-01-05,2026-02-04,220,131.92,29022.4,Open
PO-00022,SUP-023,CST-HSG-06,plant7,2026-01-05,2026-02-04,320,73.72,23590.4,Watch
PO-00023,SUP-022,BRG-RAD-090,plant7,2026-01-05,2026-02-04,790,53.85,42541.5,Open
PO-00024,SUP-018,LUB-OIL-MULTI,plant7,2026-01-05,2026-02-04,500,173.63,86815.0,Open
PO-00025,SUP-014,ADH-CYAN-50ML,plant7,2026-01-05,2026-02-04,350,77.02,26957.0,Open
PO-00026,SUP-020,SPR-COIL-022,plant7,2026-01-05,2026-02-04,900,165.96,149364.0,Open
PO-00027,SUP-020,SPR-LEAF-118,plant7,2026-01-05,2026-02-04,580,67.78,39312.4,Watch
PO-00028,SUP-021,GEAR-PIN-018,plant7,2026-01-05,2026-02-04,170,77.75,13217.5,Open
PO-00029,SUP-021,GEAR-SPR-024,plant7,2026-01-05,2026-02-04,290,85.17,24699.3,Open
PO-00030,SUP-013,CMP-TRIM-A,plant7,2026-01-05,2026-02-04,150,144.82,21723.0,Open
PO-00031,SUP-013,CMP-TRIM-B,plant7,2026-01-05,2026-02-04,600,130.04,78024.0,Open
PO-00032,SUP-015,CTG-PAINT-WHT,plant7,2026-01-05,2026-02-04,920,29.06,26735.2,Watch
PO-00033,SUP-015,CTG-PAINT-BLK,plant7,2026-01-05,2026-02-04,800,141.24,112992.0,Open
PO-00034,SUP-024,SRV-MOTOR-220,plant7,2026-01-05,2026-02-04,490,70.67,34628.3,Open
PO-00035,SUP-024,SRV-MOTOR-330,plant7,2026-01-05,2026-02-04,860,151.52,130307.2,Open
PO-00036,SUP-019,HYD-PUMP-A,plant7,2026-01-05,2026-02-04,530,79.75,42267.5,Open
PO-00037,SUP-019,HYD-PUMP-B,plant7,2026-01-05,2026-02-04,390,162.62,63421.8,Watch
PO-00038,SUP-017,PLA-CLIP-A,plant7,2026-01-05,2026-02-04,470,9.19,4319.3,Open
PO-00039,SUP-017,PLA-CLIP-B,plant7,2026-01-05,2026-02-04,460,150.73,69335.8,Open
PO-00040,SUP-028,TRIM-INT-001,plant7,2026-01-05,2026-02-04,530,62.71,33236.3,Open
PO-00041,SUP-028,TRIM-INT-002,plant7,2026-01-05,2026-02-04,490,86.07,42174.3,Open
