Part_ID,Material_Cost,Labor_Cost,Overhead_Cost,Freight_Cost,Should_Cost,Current_Unit_Price,Variance_Percent
BRK-CAL-XYZ,82.0,12.0,18.0,6.0,118.0,142.0,20.34
STM-PNL-A1,54.47,5.45,10.89,2.72,73.53,88.24,20.01
ROB-ARM-G3,57.17,5.72,11.43,2.86,77.18,92.62,20.01
FST-M8-100,47.41,4.74,9.48,2.37,64.0,76.8,20.0
CST-HSG-04,6.11,0.61,1.22,0.31,8.25,9.9,20.0
BRK-PAD-STD,82.54,8.25,16.51,4.13,111.43,133.72,20.0
BRK-ROT-090,61.61,6.16,12.32,3.08,83.17,99.8,20.0
BRK-FLD-DOT4,32.83,3.28,6.57,1.64,44.32,53.18,19.99
STM-PNL-B2,70.24,7.02,14.05,3.51,94.82,113.78,20.0
STM-PNL-C3,105.67,10.57,21.13,5.28,142.65,171.18,20.0
FRG-LNK-077,85.02,8.5,17.0,4.25,114.77,137.72,20.0
ROB-ARM-G4,83.64,8.36,16.73,4.18,112.91,135.49,20.0
ELC-HRN-12V,2.38,0.24,0.48,0.12,3.22,3.86,19.88
ELC-PCB-MAIN,44.25,4.42,8.85,2.21,59.73,71.68,20.01
ELC-MEM-08G,37.6,3.76,7.52,1.88,50.76,60.91,20.0
ELC-FW-LOAD,60.86,6.09,12.17,3.04,82.16,98.59,20.0
SNS-PRX-001,69.86,6.99,13.97,3.49,94.31,113.17,20.0
SNS-PRX-002,77.19,7.72,15.44,3.86,104.21,125.05,20.0
OPT-LNS-002,35.06,3.51,7.01,1.75,47.33,56.8,20.01
OPT-FLT-002,124.38,12.44,24.88,6.22,167.92,201.5,20.0
CST-HSG-05,118.64,11.86,23.73,5.93,160.16,192.19,20.0
CST-HSG-06,45.78,4.58,9.16,2.29,61.81,74.17,20.0
BRG-RAD-090,12.74,1.27,2.55,0.64,17.2,20.64,20.0
LUB-OIL-MULTI,106.01,10.6,21.2,5.3,143.11,171.73,20.0
ADH-CYAN-50ML,56.34,5.63,11.27,2.82,76.06,91.27,20.0
SPR-COIL-022,117.65,11.77,23.53,5.88,158.83,190.6,20.0
SPR-LEAF-118,115.88,11.59,23.18,5.79,156.44,187.73,20.0
GEAR-PIN-018,84.95,8.5,16.99,4.25,114.69,137.63,20.0
GEAR-SPR-024,72.7,7.27,14.54,3.64,98.15,117.78,20.0
CMP-TRIM-A,86.37,8.64,17.27,4.32,116.6,139.92,20.0
CMP-TRIM-B,66.68,6.67,13.34,3.33,90.02,108.02,20.0
CTG-PAINT-WHT,72.83,7.28,14.57,3.64,98.32,117.98,20.0
CTG-PAINT-BLK,91.97,9.2,18.39,4.6,124.16,148.99,20.0
SRV-MOTOR-220,107.79,10.78,21.56,5.39,145.52,174.62,20.0
SRV-MOTOR-330,37.87,3.79,7.57,1.89,51.12,61.34,19.99
HYD-PUMP-A,63.65,6.37,12.73,3.18,85.93,103.12,20.0
HYD-PUMP-B,78.24,7.82,15.65,3.91,105.62,126.74,20.0
PLA-CLIP-A,35.37,3.54,7.07,1.77,47.75,57.3,20.0
PLA-CLIP-B,45.46,4.55,9.09,2.27,61.37,73.64,19.99
TRIM-INT-001,10.0,1.0,2.0,0.5,13.5,16.2,20.0
TRIM-INT-002,25.8,2.58,5.16,1.29,34.83,41.8,20.01
