Part_ID,Part_Name,Supplier_ID,Plant_ID,Plant_Code,Line_ID,Equipment_ID,Qty_Per_Assy,Effective_Date,Safety_Critical,Alt_Source_Status
BRK-CAL-XYZ,Brake Caliper Assembly,SUP-001,plant7,MMC_P7,L1,L1-PRS-001,1,2025-01-01,Y,NO_DIRECT_ALT
STM-PNL-A1,Stamped Panel A1,SUP-002,plant7,MMC_P7,L1,L1-PRS-001,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
ROB-ARM-G3,Robot Arm Gen3,SUP-003,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
FST-M8-100,M8 Fastener Pack,SUP-004,plant7,MMC_P7,L1,L1-PRS-002,50,2025-01-01,N,APPROVED_ALT_AVAILABLE
CST-HSG-04,Cast Housing 04,SUP-005,plant7,MMC_P7,L3,L3-CNV-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
BRK-PAD-STD,Brake Pad Standard,SUP-001,plant7,MMC_P7,L1,L1-PRS-001,4,2025-01-01,Y,APPROVED_ALT_AVAILABLE
BRK-ROT-090,Brake Rotor 090mm,SUP-007,plant7,MMC_P7,L1,L1-PRS-001,1,2025-01-01,Y,APPROVED_ALT_AVAILABLE
BRK-FLD-DOT4,Brake Fluid DOT4,SUP-011,plant7,MMC_P7,L1,L1-PRS-002,1,2025-01-01,Y,APPROVED_ALT_AVAILABLE
STM-PNL-B2,Stamped Panel B2,SUP-002,plant7,MMC_P7,L1,L1-PRS-002,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
STM-PNL-C3,Stamped Panel C3,SUP-006,plant7,MMC_P7,L1,L1-PRS-002,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
FRG-LNK-077,Forged Link 077,SUP-012,plant7,MMC_P7,L1,L1-PRS-002,2,2025-01-01,N,APPROVED_ALT_AVAILABLE
ROB-ARM-G4,Robot Arm Gen4,SUP-003,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
ELC-HRN-12V,12V Wiring Harness,SUP-008,plant7,MMC_P7,L2,L2-ROB-001,1,2025-01-01,N,APPROVED_ALT_AVAILABLE
