Part_ID,Plant_ID,Stocking_Location,On_Hand_Qty,Allocated_Qty,Days_Of_Supply,Reorder_Point
BRK-CAL-XYZ,plant7,MMC_P7-CRIB,32,28,4,50
STM-PNL-A1,plant7,MMC_P7-CRIB,61,0,37,40
ROB-ARM-G3,plant7,MMC_P7-CRIB,426,342,22,30
FST-M8-100,plant7,MMC_P7-CRIB,447,442,43,520
CST-HSG-04,plant7,MMC_P7-CRIB,327,264,4,30
BRK-PAD-STD,plant7,MMC_P7-CRIB,402,385,21,60
BRK-ROT-090,plant7,MMC_P7-CRIB,352,343,41,30
BRK-FLD-DOT4,plant7,MMC_P7-CRIB,204,178,52,30
STM-PNL-B2,plant7,MMC_P7-CRIB,187,143,27,40
STM-PNL-C3,plant7,MMC_P7-CRIB,80,66,54,30
FRG-LNK-077,plant7,MMC_P7-CRIB,90,65,32,40
ROB-ARM-G4,plant7,MMC_P7-CRIB,344,284,12,30
ELC-HRN-12V,plant7,MMC_P7-CRIB,302,255,44,30
ELC-PCB-MAIN,plant7,MMC_P7-CRIB,123,114,60,30
ELC-MEM-08G,plant7,MMC_P7-CRIB,339,269,47,40
ELC-FW-LOAD,plant7,MMC_P7-CRIB,185,166,6,30
SNS-PRX-001,plant7,MMC_P7-CRIB,112,29,57,40
SNS-PRX-002,plant7,MMC_P7-CRIB,133,86,23,40
OPT-LNS-002,plant7,MMC_P7-CRIB,188,170,38,30
OPT-FLT-002,plant7,MMC_P7-CRIB,407,356,32,30
CST-HSG-05,plant7,MMC_P7-CRIB,272,206,59,30
CST-HSG-06,plant7,MMC_P7-CRIB,422,349,48,30
BRG-RAD-090,plant7,MMC_P7-CRIB,159,84,25,40
LUB-OIL-MULTI,plant7,MMC_P7-CRIB,100,96,62,30
ADH-CYAN-50ML,plant7,MMC_P7-CRIB,195,128,28,60
SPR-COIL-022,plant7,MMC_P7-CRIB,100,51,53,60
SPR-LEAF-118,plant7,MMC_P7-CRIB,128,83,5,40
GEAR-PIN-018,plant7,MMC_P7-CRIB,357,264,32,30
GEAR-SPR-024,plant7,MMC_P7-CRIB,299,242,51,30
CMP-TRIM-A,plant7,MMC_P7-CRIB,195,117,21,30
CMP-TRIM-B,plant7,MMC_P7-CRIB,140,83,17,30
CTG-PAINT-WHT,plant7,MMC_P7-CRIB,282,272,8,30
CTG-PAINT-BLK,plant7,MMC_P7-CRIB,400,351,16,30
SRV-MOTOR-220,plant7,MMC_P7-CRIB,389,363,40,30
SRV-MOTOR-330,plant7,MMC_P7-CRIB,336,321,17,30
HYD-PUMP-A,plant7,MMC_P7-CRIB,173,78,29,30
HYD-PUMP-B,plant7,MMC_P7-CRIB,139,90,35,30
PLA-CLIP-A,plant7,MMC_P7-CRIB,167,91,52,120
PLA-CLIP-B,plant7,MMC_P7-CRIB,106,105,32,120
TRIM-INT-001,plant7,MMC_P7-CRIB,303,226,5,40
TRIM-INT-002,plant7,MMC_P7-CRIB,129,104,36,40
